"NOME_PRINCIPAL","FORMACAO_PRINCIPAL","CAMPUS_PRINCIPAL","LOTACAO","ORIENTADORES_ACADEMICOS","ORIENTANDOS_ACADEMICOS"
"Frederico Araújo Da Silva Lopes","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Thais Vasconcelos Batista (Orientadora de Mestrado, 2008); Thais Vasconcelos Batista E Flavia Delicato (Orientadoras de Doutorado, 2011)","Alison Hedigliranes Da Silva (Orientando de Mestrado 2024 Co); Allyson Bruno Campos Barros Vilela (Orientando de Mestrado 2018); Altair Brandao Mendes (Orientando de Mestrado 2018 Co); Cesimar Xavier De Souza Dias (Orientando de Mestrado 2019); Diogo Cirne Nunes (Orientando de Mestrado 2022); Eduardo Lima Ribeiro (Orientando de Mestrado 2016 Co); Emmanoel Monteiro De Sousa Junior (Orientando de Mestrado 2016); Fernando Da Cruz Lopes (Orientando de Mestrado 2021); Gustavo Nogueira Alves (Orientando de Mestrado 2014 Co); Jackson Meires Dantas Canuto (Orientando de Mestrado 2019); Jonas Jordao De Macedo (Orientando de Mestrado 2018); Leandro Silva Monteiro De Oliveira (Orientando de Mestrado 2021); Leonandro Valerio Barbosa Gurgel (Orientando de Mestrado 2023 Co); Lucas Simonetti Marinho Cardoso (Orientando de Mestrado 2020); Stefano Momo Loss (Orientando de Mestrado 2019 Co); Stefano Momo Loss (Orientando de Doutorado 2021 Co)"
"Heitor Medeiros Florencio","Outros / Robótica Mecatrônica E Automação","Universidade Federal Do Rio Grande Do Norte","IMD","Adrião Duarte Dória Neto (Orientador de Mestrado, 2015); Adrião Duarte Dória Neto (Orientador de Doutorado, 2019)","Italo Oliveira Fernandes (Orientando de Mestrado 2024 Co)"
"Bruno Santana Da Silva","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Simone Diniz Junqueira Barbosa (Orientadora de Mestrado, 2005); Simone Diniz Junqueira Barbosa (Orientadora de Doutorado, 2010)","Carlos Diego Franco Da Rocha (Orientando de Mestrado 2021 Co); Fernanda Kainara Marcelino Da Fonseca (Orientanda de Mestrado 2024); Jakeline Bandeira De Oliveira (Orientanda de Mestrado 2022 Co); Lorena Karen Praxedes Mariz (Orientanda de Mestrado 2024); Luciano Antônio Cordeiro De Sousa (Orientando de Mestrado 2016); Rafael Dias Santos (Orientando de Mestrado 2016)"
"Daniel Lopes Martins","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","IMD","Adrião Duarte Dória Neto (Orientador de Mestrado, 2011); Adrião Duarte Dória Neto (Orientador de Doutorado, 2017); Jorge Dantas De Melo (Coorientador de Mestrado, 2011); Jorge Dantas De Melo (Coorientador de Doutorado, 2017)",""
"Isabel Dillmann Nunes","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Daltro José Nunes (Orientador de Mestrado, 2001); Ulrich Schiel (Orientador de Doutorado, 2014)","Andressa Kroeff (Orientando de Mestrado 2020); Cintia Reis De Oliveira (Orientando de Mestrado 2019); Daniel Lucena (Orientando de Mestrado 2018); David Montalvao Junior (Orientando de Mestrado 2017); Eduardo Augusto Morais Rodrigues (Orientando de Mestrado 2020 Co); Eric Eduardo Alencar (Orientando de Mestrado 2020); Fernando Lucas De Oliveira Farias (Orientando de Mestrado 2018); Laís Michelle De Souza Araújo Bandeira (Orientando de Mestrado 2020); Lidiane Beatriz Ribeiro De Sousa (Orientando de Mestrado 2021); Maria Da Conceicao Araujo Moreno (Orientando de Mestrado 2021); Nathalie Rose Ramos Da Fonseca Araujo (Orientando de Mestrado 2018); Neide Aparecida Alves De Medeiros (Orientando de Mestrado 2020 Co); Pedrina Celia Brasil (Orientando de Mestrado 2017); Tobias Rocha (Orientando de Mestrado 2018)"
"Antonio Igor Silva De Oliveira","Mestrado em Matemática","Universidade Federal Do Rio Grande Do Norte","IMD","Antonio Pereira Brandao Junior (Orientador de Mestrado, 2011)",""
"Aluizio Ferreira Da Rocha Neto","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","Flávia Coimbra Delicato (Orientador de Doutorado, 2021 Co); Ricardo De Oliveira Anido (Orientador de Mestrado, 1997); Thais Vasconcelos Batista (Orientador de Doutorado, 2021)",""
"Alyson Matheus De Carvalho Souza","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","IMD","César Rennó Costa (Orientador de Doutorado, 2022); Izabel Augusta Hazin Pires (Orientador de Doutorado, 2022 Co); Selan Rodrigues Dos Santos (Orientador de Mestrado, 2014)",""
"Andre Luiz De Souza Brito","Mestrado profissional em Engenharia de Software.","Universidade Federal do Rio Grande do Norte","IMD","Charles Andryê Galvão Madeira (Orientador de Mestrado, 2017)",""
"Danilo Curvelo De Souza","Outros / Robótica Mecatrônica E Automação","Universidade Federal do Rio Grande do Norte","IMD","Adrião Duarte Dória Neto (Orientador de Mestrado, 2012); Adrião Duarte Dória Neto (Orientador de Doutorado, 2017); Jorge Dantas De Melo (Orientador de Mestrado, 2012 Co)",""
